class, amount
e5eene070002, 1
e5eene070003, 4
e5eene080003, 1
e5eene090003, 1
e5eene120003, 1
e5eene120006, 1
e5eenh080003, 1
e5eep7110003, 1
e5eepg030003, 2
e5eepg060003, 2
e5eepg080003, 2
e5eepg110003, 1
e5eepg120003, 1
e5eepg130003, 1
e5eeph050003, 1
e5eeph060003, 1
e5eeq050003, 1
e5eeq060003, 2
e5eeq090003, 2
e5eeqe080003, 1
e5eeqg060003, 1
e5efc030002, 1
e5efc060002, 1
e5egfq060002, 1
e5egg060003, 1
e5egg080003, 3
e5eggg030002, 1
e5eggg050003, 2
e5eggg070003, 1
e5eggg110003, 1
e5eggh050003, 1
e5eggj050003, 2
e5eggj090003, 1
e5egne050003, 1
e5ego100003, 1
e5egog050002, 1
e5egp7040002, 1
e5egp7080003, 1
e5egp7110003, 1
e5egpf030003, 1
e5egpg000002, 1
e5egpg030003, 1
e5egpg040003, 2
e5egpg050003, 1
e5egpg060003, 3
e5egpg080003, 3
e5egqg010002, 1
e5egqg030002, 1
e5eh100003, 2
e5ehe030003, 1
e5ehe070003, 1
e5ehee090003, 1
e5eheg100003, 1
e5ehg080003, 1
e5ehg120003, 2
e5ehgp020002, 1
e5ehh050002, 1
e5ehh080003, 1
e5ehk050002, 1
e5ehn020002, 1
e5ehn080003, 2
e5ehn090003, 1
e5ehn100003, 1
e5ehp020002, 1
e5ehp040002, 1
e5ehp050002, 1
e5ehp050003, 1
e5ehp070002, 1
e5ehp090003, 1
e5ehq030002, 1
e5ehq040002, 1
e5ehqe070003, 1
e5ei1a020003, 1
e5eia1050003, 1
e5eia1060003, 1
e5eiaa030002, 1
e5eiaa030003, 1
e5eiaa070003, 1
e5eiaa080003, 1
e5ej1a030002, 1
e5ej1k030002, 1
e5ej1k050003, 1
e5ej2040002, 1
e5ej2060003, 1
e5ej9a050002, 1
e5ej9a070003, 1
e5ej9a080003, 1
e5ej9a090003, 1
e5eja050003, 1
e5eja060003, 1
e5eja070003, 1
e5eja1030003, 1
e5eja9040003, 1
e5ejaa010002, 2
e5ejaa020002, 2
e5ejaa030002, 2
e5ejaa030003, 6
e5ejaa040003, 4
e5ejaa050003, 4
e5ejaa060003, 6
e5ejaa070003, 7
e5ejaa080003, 4
e5ejaa090003, 1
e5ejaa100003, 2
e5ejab020003, 1
e5ejab030002, 1
e5ejab050002, 1
e5ejab050003, 2
e5ejab060002, 1
e5ejab060003, 1
e5ejab070003, 1
e5ejab100003, 1
e5ejba030002, 2
e5ejba040002, 1
e5ejba040003, 1
e5ejba050002, 1
e5ejba060002, 1
e5ejba080003, 1
e5ejba100003, 1
e5ek1060003, 1
e5ek2090003, 1
e5ek2100003, 1
e5ek5040003, 1
e5ek5050003, 1
e5ek5060003, 1
e5eka020002, 2
e5eka050002, 1
e5eka050003, 1
e5eka080003, 1
e5ekb010002, 1
e5ekb020002, 1
e5ekb040003, 1
e5ekb060003, 1
e5ekb070003, 1
e5ekb080003, 3
e5ekb100003, 1
e5ekb120003, 1
e5eke030002, 1
e5eke040002, 1
e5eke080002, 1
e5eke090003, 2
e5eke1100003, 1
e5ekee050002, 1
e5ekee050003, 3
e5ekee060003, 1
e5ekee080003, 1
e5ekee120003, 1
e5en2040002, 1
e5en5030003, 1
e5en5040003, 3
e5en5050003, 3
e5en5070003, 2
e5en5080003, 1
e5en5090003, 2
e5en5e020003, 1
e5en5e030003, 1
e5en5e040002, 1
e5en5e050002, 1
e5en5e050003, 3
e5en5e060003, 1
e5en5e070003, 2
e5en5e080003, 1
e5en5e090003, 2
e5en5e100003, 2
e5en5n070003, 1
e5en5n100003, 1
e5enb050002, 1
e5enb090003, 2
e5enb5080003, 1
e5enbe070003, 1
e5ene030002, 1
e5ene050003, 2
e5ene060003, 1
e5ene070003, 1
e5ene080003, 1
e5ene2090003, 1
e5ene5050003, 5
e5ene5070003, 3
e5ene5080003, 2
e5ene5090003, 4
e5ene5100003, 1
e5ene5140006, 1
e5enee020002, 1
e5enee020003, 2
e5enee030002, 3
e5enee030003, 4
e5enee040002, 5
e5enee040003, 16
e5enee050002, 1
e5enee050003, 10
e5enee060003, 13
e5enee070003, 14
e5enee080003, 18
e5enee090003, 6
e5enee100003, 8
e5enee100006, 1
e5enee110003, 1
e5enee240006, 1
e5eneh040002, 1
e5eneh040003, 1
e5eneh050003, 1
e5eneh060003, 3
e5eneh090003, 1
e5eneh100003, 1
e5enh040003, 1
e5enh060003, 1
e5enhe040002, 1
e5enhe070003, 1
e5ep7070003, 1
e5ep7g050003, 1
e5ep7g060003, 1
e5ep7g070003, 1
e5ep7g100003, 1
e5epfg080003, 1
e5epg060003, 1
e5epg080003, 2
e5epg7030003, 1
e5epg7060003, 1
e5epg7070003, 1
e5epg8090003, 1
e5epg8100003, 1
e5epgg020002, 1
e5epgg040002, 1
e5epgg040003, 1
e5epgg060003, 2
e5epgg070003, 2
e5epgg080003, 2
e5epgg090003, 3
e5epgg100003, 3
e5epgg110003, 1
e5epgh030002, 1
e5epgh060002, 1
e5epgh070003, 2
e5eph040002, 2
e5eph040003, 2
e5eph050002, 1
e5eph070003, 1
e5eph110003, 1
e5ephg050003, 1
e5ephg060003, 2
